Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Revenue_Capped,Order_Date,Sales_Channel,Region,Profit,Profit_Capped,is_return,Is_Zero_Sales,Units_Sold_Imputed_Flag,Date_Missing_Flag,Revenue_Outlier_Flag,Profit_Outlier_Flag,Profit_Ratio_Flag
2060,Men,Lifestyle,Waffle One,L,2,7979.26,0.24,12128.4752,12128.4752,2024-07-11,Online,Bangalore,2821.59,2821.59,False,False,False,False,False,False,False
2061,Women,Basketball,LeBron 20,L,2,6431.1900000000005,0.42,7460.180400000001,7460.180400000001,2024-09-10,Online,Mumbai,-501.68,-501.68,False,False,True,False,False,False,False
2062,Men,Basketball,Air Jordan,XL,2,6235.71,0.24,9478.2792,9478.2792,2025-06-06,Online,Bangalore,1823.91,1823.91,False,False,False,False,False,False,False
2063,Women,Basketball,Air Jordan,M,1,9751.0,0.16,8190.84,8190.84,2024-09-06,Retail,Pune,1130.31,1130.31,False,False,False,False,False,False,False
2064,Kids,Running,React Infinity,L,2,7557.71,0.49,7708.8642,7708.8642,2025-03-02,Online,Bangalore,3277.44,3277.44,False,False,False,False,False,False,False
2065,Women,Lifestyle,Waffle One,10,2,5637.46,0.78,2480.4824,2480.4824,2024-02-11,Retail,Hyderabad,21.58,21.58,False,False,True,False,False,False,False
2066,Men,Soccer,Phantom GT,XL,-1,5259.05,0.38,-3260.611,-3260.611,2024-12-10,Online,Mumbai,1022.82,1022.82,True,False,False,False,False,False,False
2067,Kids,Basketball,LeBron 20,L,4,3588.38,0.42,8325.0416,8325.0416,2025-05-06,Online,Kolkata,161.5,161.5,False,False,False,False,False,False,False
2068,Men,Running,Free RN,L,4,2553.29,0.305,7098.1462,7098.1462,2024-12-05,Retail,Mumbai,984.9,984.9,False,False,False,False,False,False,False
2069,Women,Training,SuperRep Go,M,3,7502.24,0.32,15304.569599999999,15304.569599999999,2025-07-14,Online,Pune,3554.58,3554.58,False,False,True,False,False,False,False
2070,Kids,Running,React Infinity,L,3,6492.155000000001,0.49,9932.997150000003,9932.997150000003,,Retail,Mumbai,1112.43,1112.43,False,False,True,True,False,False,False
2071,Kids,Lifestyle,Blazer Mid,M,3,7849.81,0.49,12010.21,12010.21,2025-01-12,Retail,Pune,-882.96,-882.96,False,False,False,False,False,False,False
2072,Men,Training,Flex Trainer,XL,3,6383.55,0.37,12064.909500000002,12064.909500000002,,Retail,Pune,3639.2,3639.2,False,False,False,True,False,False,False
2073,Women,Lifestyle,Blazer Mid,12,4,6383.24,0.85,3829.9440000000004,3829.9440000000004,2024-11-03,Online,Hyderabad,443.86,443.86,False,False,False,False,False,False,False
2074,Men,Training,Flex Trainer,L,-1,6383.55,0.57,-2744.9265000000005,-2744.9265000000005,,Online,Kolkata,1958.47,1958.47,True,False,False,True,False,False,False
2075,Kids,Basketball,Air Jordan,L,4,4251.74,0.24,12925.2896,12925.2896,2025-07-14,Online,Pune,2345.35,2345.35,False,False,False,False,False,False,False
2076,Women,Training,ZoomX Invincible,11,2,6897.68,0.385,8484.1464,8484.1464,2024-10-13,Retail,Bangalore,2011.25,2011.25,False,False,True,False,False,False,False
2077,Men,Training,ZoomX Invincible,L,2,6897.68,0.385,8484.1464,8484.1464,2023-11-21,Online,Pune,3332.66,3332.66,False,False,True,False,False,False,False
2078,Women,Basketball,LeBron 20,XL,0,6970.47,0.42,0.0,0.0,,Online,Mumbai,262.79,262.79,False,True,False,True,False,False,False
2079,Men,Running,Pegasus Turbo,XL,-1,4322.06,0.305,-3003.8317000000006,-3003.8317000000006,2025-01-19,Online,Bangalore,279.78,279.78,True,False,False,False,False,False,False
2080,Men,Lifestyle,Blazer Mid,L,3,6383.24,0.26,14170.792800000001,14170.792800000001,2025-03-31,Online,Bangalore,-1005.89,-1005.89,False,False,True,False,False,False,False
2081,Men,Training,ZoomX Invincible,L,2,6897.68,0.385,8484.1464,8484.1464,,Online,Mumbai,2810.49,2810.49,False,False,True,True,False,False,False
2028,Men,Running,Free RN,L,-1,6293.58,0.21,-4971.9282,-4971.9282,2024-02-14,Online,Hyderabad,3303.01,3303.01,True,False,False,False,False,False,False
2083,Men,Running,Free RN,L,2,9291.74,0.305,12915.518600000001,12915.518600000001,2024-10-14,Retail,Delhi,-981.21,-981.21,False,False,True,False,False,False,False
2084,Men,Training,Metcon 7,M,2,5890.69,0.39,7186.641799999999,7186.641799999999,2023-12-24,Online,Mumbai,408.39,408.39,False,False,False,False,False,False,False
2085,Men,Basketball,Kyrie Flytrap,L,2,7561.85,0.46499999999999997,8091.179500000001,8091.179500000001,2024-12-17,Retail,Kolkata,98.72,98.72,False,False,True,False,False,False,False
2086,Men,Soccer,Mercurial Superfly,L,0,6569.65,0.45,0.0,0.0,2024-10-11,Online,Kolkata,1742.66,1742.66,False,True,False,False,False,False,False
2087,Kids,Basketball,Zoom Freak,M,3,4656.28,0.35,9079.746000000001,9079.746000000001,2024-11-01,Online,Kolkata,3777.5,3777.5,False,False,True,False,False,False,False
2088,Women,Running,Free RN,XL,4,6293.58,0.305,17496.152400000003,17496.152400000003,2025-04-26,Online,Bangalore,2702.93,2702.93,False,False,False,False,False,False,False
2089,Women,Training,Flex Trainer,L,2,6874.77,0.6,5499.82,5499.82,2024-12-02,Online,Mumbai,-1076.66,-1076.66,False,False,False,False,False,False,False
2090,Kids,Lifestyle,Dunk Low,8,3,6202.99,0.39,11351.4717,11351.4717,,Retail,Bangalore,163.15,163.15,False,False,True,True,False,False,False
2091,Kids,Running,Air Zoom,11,2,9246.88,0.37,11651.0688,11651.0688,,Retail,Mumbai,1917.55,1917.55,False,False,True,True,False,False,False
2092,Kids,Basketball,Zoom Freak,XL,2,6435.66,0.1299999999999999,11198.048400000001,11198.048400000001,,Online,Delhi,207.2,207.2,False,False,False,True,False,False,False
2093,Men,Running,Free RN,XL,0,6293.58,0.29,0.0,0.0,,Online,Kolkata,-146.73,-146.73,False,True,False,True,False,False,False
2094,Kids,Training,Flex Trainer,10,1,4276.36,0.37,2694.1068,2694.1068,2024-11-10,Retail,Delhi,2974.58,2974.58,False,False,False,False,False,False,False
2095,Men,Lifestyle,Waffle One,M,2,5637.46,0.24,8568.9392,8568.9392,2024-10-16,Online,Delhi,880.57,880.57,False,False,True,False,False,False,False
2096,Men,Running,Pegasus Turbo,XL,2,5644.675,0.305,7846.098250000001,7846.098250000001,2024-12-24,Online,Kolkata,288.66,288.66,False,False,False,False,False,False,False
2097,Women,Training,ZoomX Invincible,XL,2,7978.89,0.385,9814.0347,9814.0347,,Online,Bangalore,769.05,769.05,False,False,True,True,False,False,False
2098,Men,Training,ZoomX Invincible,L,2,5690.69,0.69,3528.2278000000006,3528.2278000000006,2024-01-24,Online,Hyderabad,98.3,98.3,False,False,True,False,False,False,False
2099,Kids,Soccer,Mercurial Superfly,M,2,6569.65,0.32,8934.723999999998,8934.723999999998,2025-02-01,Retail,Mumbai,360.97,360.97,False,False,False,False,False,False,False
2100,Kids,Soccer,Phantom GT,8,1,5937.52,0.38,3681.2624,3681.2624,2025-07-11,Retail,Mumbai,2287.57,2287.57,False,False,False,False,False,False,False
2101,Kids,Running,Free RN,XL,2,2010.07,0.305,2793.9973,2793.9973,2025-07-03,Online,Hyderabad,3398.01,3398.01,False,False,True,False,False,False,False
2102,Women,Soccer,Mercurial Superfly,XL,-1,6569.65,0.77,-1511.0194999999999,-1511.0194999999999,2025-04-10,Online,Pune,284.17,284.17,True,False,False,False,False,False,False
2103,Women,Basketball,LeBron 20,XL,-1,6777.88,0.42,-3931.1704000000004,-3931.1704000000004,2025-01-08,Online,Kolkata,469.61,469.61,True,False,False,False,False,False,False
2104,Men,Basketball,Kyrie Flytrap,L,2,5066.14,0.46499999999999997,5420.769800000001,5420.769800000001,,Retail,Delhi,2905.91,2905.91,False,False,True,True,False,False,False
2105,Kids,Training,Metcon 7,M,2,5744.7,0.39,7008.534,7008.534,2024-11-17,Retail,Mumbai,1716.04,1716.04,False,False,False,False,False,False,False
2106,Women,Running,Free RN,L,2,6293.58,0.305,8748.076200000001,8748.076200000001,,Retail,Bangalore,76.95,76.95,False,False,True,True,False,False,False
2107,Women,Running,React Infinity,M,4,6492.155000000001,0.49,13243.996200000001,13243.996200000001,2024-08-30,Online,Hyderabad,-184.69,-184.69,False,False,False,False,False,False,False
2108,Kids,Lifestyle,Air Force 1,XL,2,6323.09,0.27,9231.7114,9231.7114,2024-11-15,Retail,Mumbai,-338.77,-338.77,False,False,True,False,False,False,False
2109,Kids,Basketball,Zoom Freak,M,0,6435.66,0.35,0.0,0.0,2025-01-29,Retail,Kolkata,3791.88,3791.88,False,True,False,False,False,False,False
2110,Kids,Running,Air Zoom,12,1,5550.99,0.42,3219.5742000000005,3219.5742000000005,2024-12-25,Retail,Pune,-259.29,-259.29,False,False,False,False,False,False,False
2111,Men,Lifestyle,Waffle One,L,2,5637.46,0.1399999999999999,9696.4312,9696.4312,2024-11-21,Retail,Bangalore,1326.67,1326.67,False,False,True,False,False,False,False
2112,Women,Training,Metcon 7,M,2,2201.54,0.39,2685.8788,2685.8788,,Retail,Bangalore,697.42,697.42,False,False,True,True,False,False,False
2113,Women,Basketball,Air Jordan,XL,2,3939.34,0.24,5987.7968,5987.7968,2023-12-19,Retail,Pune,2918.93,2918.93,False,False,True,False,False,False,False
2114,Women,Training,Flex Trainer,XL,1,3167.33,0.53,1488.65,1488.65,,Retail,Pune,1567.37,1567.37,False,False,False,True,False,False,False
2115,Kids,Soccer,Phantom GT,6,2,7607.45,0.38,9433.238,9433.238,,Online,Kolkata,1969.03,1969.03,False,False,False,True,False,False,False
2116,Women,Basketball,LeBron 20,XL,2,4038.32,0.1299999999999999,7026.676800000001,7026.676800000001,2024-08-27,Online,Hyderabad,2088.55,2088.55,False,False,True,False,False,False,False
2117,Women,Training,SuperRep Go,L,0,7645.96,0.32,0.0,0.0,2024-10-30,Online,Pune,2037.43,2037.43,False,True,False,False,False,False,False
2118,Kids,Basketball,Zoom Freak,XL,2,8426.54,0.35,10954.502000000002,10954.502000000002,2023-09-21,Online,Hyderabad,2696.85,2696.85,False,False,False,False,False,False,False
2119,Women,Training,Metcon 7,11,-1,5890.69,0.41,-3475.5071000000003,-3475.5071000000003,2025-04-05,Retail,Kolkata,2887.81,2887.81,True,False,False,False,False,False,False
2120,Men,Soccer,Phantom GT,12,2,6320.59,0.38,7837.5316,7837.5316,2024-12-14,Retail,Pune,-328.0,-328.0,False,False,True,False,False,False,False
2000,Kids,Running,React Infinity,M,-1,6492.155000000001,0.49,-3310.9990500000004,-3310.9990500000004,2023-11-20,Retail,Kolkata,929.75,929.75,True,False,False,False,False,False,False
2122,Kids,Soccer,Mercurial Superfly,M,0,6569.65,0.425,0.0,0.0,,Retail,Bangalore,1078.48,1078.48,False,True,False,True,False,False,False
2123,Men,Running,Air Zoom,L,2,5550.99,0.37,6994.2474,6994.2474,2024-09-15,Retail,Hyderabad,2195.52,2195.52,False,False,True,False,False,False,False
2124,Kids,Basketball,Kyrie Flytrap,L,2,6436.11,0.24,9782.8872,9782.8872,2025-07-04,Online,Kolkata,432.04,432.04,False,False,True,False,False,False,False
2125,Women,Soccer,Tiempo Legend,M,3,6045.785,0.24,13784.389799999999,13784.389799999999,2024-12-10,Retail,Hyderabad,1051.22,1051.22,False,False,True,False,False,False,False
2126,Kids,Running,Pegasus Turbo,L,-1,5399.58,0.305,-3752.7081000000003,-3752.7081000000003,2024-12-14,Retail,Pune,2508.34,2508.34,True,False,False,False,False,False,False
2127,Men,Training,Metcon 7,L,-1,4020.5,0.39,-2452.505,-2452.505,2023-08-19,Online,Mumbai,3718.37,3718.37,True,False,False,False,False,False,False
2128,Women,Basketball,LeBron 20,L,2,8750.71,0.42,10150.8236,10150.8236,,Retail,Bangalore,1411.29,1411.29,False,False,True,True,False,False,False
2129,Men,Basketball,Zoom Freak,9,3,6435.66,0.35,12549.537,12549.537,,Retail,Delhi,841.4,841.4,False,False,True,True,False,False,False
2130,Men,Soccer,Premier III,10,3,5773.245,0.24,13162.9986,13162.9986,2024-09-14,Online,Bangalore,2962.75,2962.75,False,False,False,False,False,False,False
2131,Kids,Running,Free RN,XL,2,5561.82,0.305,7730.9298,7730.9298,,Retail,Mumbai,2227.48,2227.48,False,False,True,True,False,False,False
2132,Men,Running,Free RN,L,2,6293.58,0.305,8748.076200000001,8748.076200000001,,Online,Delhi,3882.22,3882.22,False,False,False,True,False,False,False
2133,Men,Training,Metcon 7,XL,2,6789.53,0.39,8283.2266,8283.2266,2024-10-10,Retail,Pune,-166.81,-166.81,False,False,True,False,False,False,False
2134,Men,Training,ZoomX Invincible,M,2,4738.62,0.385,5828.5026,5828.5026,2024-08-06,Online,Hyderabad,1009.28,1009.28,False,False,True,False,False,False,False
2135,Men,Basketball,Zoom Freak,L,2,9106.61,0.74,4735.44,4735.44,2024-11-03,Retail,Hyderabad,2422.38,2422.38,False,False,False,False,False,False,False
2136,Kids,Training,ZoomX Invincible,L,1,6897.68,0.385,4242.0732,4242.0732,2024-09-15,Online,Pune,3672.24,3672.24,False,False,False,False,False,False,False
2137,Men,Soccer,Phantom GT,XL,0,5222.02,0.95,0.0,0.0,2025-01-12,Online,Delhi,1796.76,1796.76,False,True,False,False,False,False,False
2138,Men,Running,Pegasus Turbo,11,2,8055.2,0.305,11196.728000000001,11196.728000000001,2025-06-14,Online,Mumbai,1840.09,1840.09,False,False,False,False,False,False,False
2139,Women,Basketball,Air Jordan,M,2,6235.71,0.24,9478.2792,9478.2792,2025-06-19,Retail,Mumbai,-334.52,-334.52,False,False,True,False,False,False,False
2140,Men,Basketball,Zoom Freak,M,3,6765.74,0.35,13193.193000000001,13193.193000000001,2025-04-28,Online,Bangalore,-875.45,-875.45,False,False,True,False,False,False,False
2141,Kids,Soccer,Tiempo Legend,M,3,6045.785,0.10000000000000009,16323.619499999999,16323.619499999999,2023-11-22,Retail,Kolkata,-1032.47,-1032.47,False,False,True,False,False,False,False
2142,Kids,Soccer,Mercurial Superfly,M,2,6569.65,0.425,7555.097499999999,7555.097499999999,2024-10-03,Retail,Kolkata,-995.59,-995.59,False,False,True,False,False,False,False
2143,Kids,Training,ZoomX Invincible,L,-1,6897.68,0.385,-4242.0732,-4242.0732,2025-03-10,Online,Delhi,1006.66,1006.66,True,False,False,False,False,False,False
2144,Women,Lifestyle,Waffle One,L,4,5637.46,0.24,17137.8784,17137.8784,2025-03-30,Online,Kolkata,2385.1,2385.1,False,False,False,False,False,False,False
2145,Men,Lifestyle,Blazer Mid,6,0,6383.24,0.67,0.0,0.0,2024-07-30,Online,Bangalore,1335.45,1335.45,False,True,False,False,False,False,False
2146,Kids,Basketball,Air Jordan,XL,2,6235.71,0.1200000000000001,10974.8496,10974.8496,2025-02-15,Retail,Mumbai,-908.85,-908.85,False,False,True,False,False,False,False
2147,Women,Soccer,Phantom GT,XL,-1,6320.59,0.38,-3918.7658,-3918.7658,2024-09-14,Online,Hyderabad,-426.53,-426.53,True,False,False,False,False,False,False
2148,Men,Basketball,Kyrie Flytrap,L,2,5066.14,0.46499999999999997,5420.769800000001,5420.769800000001,2025-06-19,Online,Hyderabad,520.55,520.55,False,False,True,False,False,False,False
2149,Women,Running,Pegasus Turbo,L,2,5644.675,0.305,7846.098250000001,7846.098250000001,2025-05-20,Online,Kolkata,-595.69,-595.69,False,False,True,False,False,False,False
2150,Women,Basketball,LeBron 20,M,2,3313.21,0.48,3445.74,3445.74,2025-07-06,Online,Bangalore,3221.62,3221.62,False,False,False,False,False,False,False
2151,Kids,Soccer,Tiempo Legend,L,4,5619.75,0.24,17084.04,17084.04,2025-05-27,Online,Bangalore,2000.85,2000.85,False,False,False,False,False,False,False
2152,Women,Running,Free RN,8,2,6293.58,0.305,8748.076200000001,8748.076200000001,,Online,Bangalore,3819.41,3819.41,False,False,True,True,False,False,False
2153,Men,Running,React Infinity,L,0,6492.155000000001,0.09,0.0,0.0,2024-08-18,Retail,Pune,1246.58,1246.58,False,True,False,False,False,False,False
2154,Kids,Lifestyle,Blazer Mid,XL,3,2963.16,0.26,6578.2152,6578.2152,2025-04-01,Online,Bangalore,2381.85,2381.85,False,False,True,False,False,False,False
2155,Men,Soccer,Phantom GT,XL,3,6320.59,0.38,11756.2974,11756.2974,,Online,Hyderabad,1475.15,1475.15,False,False,False,True,False,False,False
2156,Men,Soccer,Tiempo Legend,M,0,6045.785,0.24,0.0,0.0,2024-08-31,Online,Pune,-286.07,-286.07,False,True,False,False,False,False,False
2157,Kids,Soccer,Premier III,M,1,5773.245,0.4,3463.9469999999997,3463.9469999999997,2025-04-29,Online,Delhi,-701.01,-701.01,False,False,False,False,False,False,False
2158,Women,Running,React Infinity,M,-1,6492.155000000001,0.5,-3246.0775000000003,-3246.0775000000003,2025-01-28,Online,Mumbai,514.79,514.79,True,False,False,False,False,False,False
2159,Women,Training,ZoomX Invincible,XL,2,3987.65,0.385,4904.8095,4904.8095,,Retail,Delhi,2781.72,2781.72,False,False,False,True,False,False,False
2160,Kids,Running,Air Zoom,XL,2,5550.99,0.37,6994.2474,6994.2474,2025-03-01,Retail,Mumbai,3744.91,3744.91,False,False,True,False,False,False,False
2161,Kids,Lifestyle,Waffle One,M,0,5119.41,0.8,0.0,0.0,,Online,Pune,1956.8,1956.8,False,True,False,True,False,False,False
