Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit,Units_Imputed_Baseline,Is_Zero_Sales,Date_Missing_Flag,Revenue_Capped
2023,Men,Lifestyle,Waffle One,8.0,0.0,5003.95,0.0,0.0,2025-10-01,Online,Mumbai,1498.37,False,True,False,0.0
2024,Kids,Training,SuperRep Go,12.0,0.0,4176.63,0.5,0.0,2024-12-28,Retail,Bangalore,1842.35,False,True,False,0.0
2025,Women,Basketball,Kyrie Flytrap,8.0,3.0,9820.5,0.0,29461.5,,Retail,Mumbai,1900.15,False,False,True,29461.5
2026,Kids,Lifestyle,Blazer Mid,12.0,1.0,0.0,0.16,0.0,2024-08-10,Retail,Kolkata,2301.64,False,False,False,0.0
2027,Men,Basketball,Zoom Freak,12.0,0.0,3894.2650000000003,0.22,0.0,,Online,Pune,-138.74,False,True,True,0.0
2028,Men,Training,Flex Trainer,12.0,0.0,3270.23,0.0,0.0,,Retail,Delhi,-946.86,False,True,True,0.0
2029,Men,Training,ZoomX Invincible,12.0,0.0,5622.32,0.0,0.0,2023-10-28,Online,Bangalore,-185.67,False,True,False,0.0
2030,Men,Soccer,Phantom GT,12.0,0.0,4181.97,0.050000000000000044,0.0,2025-07-14,Retail,Hyderabad,-122.93,False,True,False,0.0
2031,Men,Soccer,Premier III,8.0,4.0,3493.04,0.82,2514.9888000000005,2024-05-09,Online,Delhi,350.7,False,False,False,2514.9888000000005
2032,Women,Lifestyle,Blazer Mid,12.0,1.0,0.0,0.07000000000000006,0.0,2025-11-04,Retail,Mumbai,-555.16,False,False,False,0.0
2034,Men,Basketball,Air Jordan,6.0,0.0,6235.71,0.0,0.0,2025-04-30,Retail,Delhi,-267.37,False,True,False,0.0
2035,Kids,Basketball,Zoom Freak,8.0,4.0,0.0,0.38,0.0,2024-11-17,Online,Bangalore,2914.83,False,False,False,0.0
2036,Men,Training,Metcon 7,8.0,3.0,0.0,0.0,0.0,2025-02-15,Retail,Bangalore,-143.8,False,False,False,0.0
2037,Kids,Running,Pegasus Turbo,7.0,3.0,5653.14,0.010000000000000009,16789.825800000002,,Retail,Pune,2776.96,False,False,True,16789.825800000002
2038,Kids,Running,Free RN,10.0,0.0,4252.205,0.83,0.0,,Online,Delhi,1163.21,False,True,True,0.0
2039,Women,Training,Flex Trainer,8.0,0.0,2767.7,0.63,0.0,2025-04-22,Retail,Hyderabad,-336.3,False,True,False,0.0
2002,Women,Basketball,Zoom Freak,12.0,3.0,5075.22,0.0,15225.66,2025-07-03,Retail,Delhi,145.08,False,False,False,15225.66
2041,Kids,Soccer,Tiempo Legend,12.0,0.0,5553.88,0.0,0.0,2025-03-05,Online,Hyderabad,2371.66,False,True,False,0.0
2042,Women,Basketball,Kyrie Flytrap,10.0,0.0,4466.78,0.0,0.0,2025-04-19,Online,Hyderabad,-862.16,False,True,False,0.0
2043,Men,Soccer,Premier III,12.0,0.0,3492.89,0.77,0.0,2024-05-02,Retail,Delhi,3770.75,False,True,False,0.0
2044,Kids,Training,SuperRep Go,10.0,0.0,4176.63,0.0,0.0,2023-09-06,Online,Delhi,2174.71,False,True,False,0.0
2045,Kids,Lifestyle,Dunk Low,12.0,4.0,0.0,0.0,0.0,2025-04-06,Retail,Delhi,1833.94,False,False,False,0.0
2046,Kids,Running,Air Zoom,12.0,0.0,5225.745000000001,0.040000000000000036,0.0,,Online,Kolkata,1284.33,False,True,True,0.0
2047,Women,Training,SuperRep Go,10.0,1.0,8577.75,0.0,8577.75,2024-06-13,Retail,Bangalore,2888.68,False,False,False,8577.75
2048,Women,Basketball,Air Jordan,12.0,0.0,4597.23,0.0,0.0,2024-10-27,Online,Bangalore,2875.86,False,True,False,0.0
2049,Kids,Soccer,Tiempo Legend,10.0,1.0,7767.2,0.0,7767.2,,Retail,Pune,311.48,False,False,True,7767.2
2050,Men,Running,Air Zoom,10.0,1.0,0.0,0.57,0.0,,Retail,Kolkata,682.12,False,False,True,0.0
2051,Women,Basketball,Air Jordan,12.0,0.0,4597.23,0.37,0.0,2024-01-05,Retail,Delhi,3135.98,False,True,False,0.0
2052,Men,Training,Flex Trainer,10.0,3.0,9155.96,0.0,27467.879999999997,2024-10-08,Retail,Pune,2184.8,False,False,False,27467.879999999997
2053,Men,Lifestyle,Air Force 1,12.0,3.0,6009.58,0.0,18028.739999999998,2024-10-02,Online,Delhi,3384.92,False,False,False,18028.739999999998
2055,Men,Basketball,Kyrie Flytrap,10.0,0.0,4466.78,0.0,0.0,2024-10-26,Online,Hyderabad,-1078.76,False,True,False,0.0
2056,Men,Running,React Infinity,10.0,3.0,0.0,0.0,0.0,2024-05-31,Retail,Bangalore,-244.44,False,False,False,0.0
2048,Men,Lifestyle,Waffle One,8.0,3.0,6216.29,0.94,1118.9322000000009,2024-09-14,Online,Mumbai,-642.02,False,False,False,1118.9322000000009
2058,Women,Training,Flex Trainer,11.0,0.0,4985.92,0.0,0.0,,Online,Kolkata,361.54,False,True,True,0.0
2060,Men,Lifestyle,Waffle One,10.0,2.0,7979.26,0.0,15958.52,2024-07-11,Online,Bangalore,2821.59,False,False,False,15958.52
2061,Women,Basketball,LeBron 20,10.0,0.0,5216.395,0.0,0.0,2024-10-09,Online,Mumbai,-501.68,False,True,False,0.0
2062,Men,Basketball,Air Jordan,12.0,2.0,0.0,0.0,0.0,2025-06-06,Online,Bangalore,1823.91,False,False,False,0.0
2063,Women,Basketball,Air Jordan,8.0,1.0,9751.0,0.16,8190.84,2024-06-09,Retail,Pune,1130.31,False,False,False,8190.84
2064,Kids,Running,React Infinity,10.0,2.0,7557.71,0.0,15115.42,2025-03-02,Online,Bangalore,3277.44,False,False,False,15115.42
2065,Women,Lifestyle,Waffle One,10.0,0.0,4493.965,0.78,0.0,2024-02-11,Retail,Hyderabad,21.58,False,True,False,0.0
2067,Kids,Basketball,LeBron 20,10.0,4.0,3588.38,0.0,14353.52,2025-06-05,Online,Kolkata,161.5,False,False,False,14353.52
2068,Men,Running,Free RN,10.0,4.0,2553.29,0.0,10213.16,2024-12-05,Retail,Mumbai,984.9,False,False,False,10213.16
2069,Women,Training,SuperRep Go,10.0,0.0,7502.24,0.0,0.0,2025-07-14,Online,Pune,3554.58,False,True,False,0.0
2070,Kids,Running,React Infinity,10.0,0.0,4488.055,0.0,0.0,,Retail,Mumbai,1112.43,False,True,True,0.0
2071,Kids,Lifestyle,Blazer Mid,8.0,3.0,7849.81,0.49,12010.2093,2025-01-12,Retail,Pune,-882.96,False,False,False,12010.2093
2072,Men,Training,Flex Trainer,12.0,3.0,0.0,0.0,0.0,,Retail,Pune,3639.2,False,False,True,0.0
2073,Women,Lifestyle,Blazer Mid,12.0,4.0,0.0,0.85,0.0,2024-03-11,Online,Hyderabad,443.86,False,False,False,0.0
2075,Kids,Basketball,Air Jordan,10.0,4.0,4251.74,0.0,17006.96,2025-07-14,Online,Pune,2345.35,False,False,False,17006.96
2076,Women,Training,ZoomX Invincible,11.0,0.0,5622.32,0.0,0.0,2024-10-13,Retail,Bangalore,2011.25,False,True,False,0.0
2077,Men,Training,ZoomX Invincible,10.0,0.0,5622.32,0.0,0.0,2023-11-21,Online,Pune,3332.66,False,True,False,0.0
2078,Women,Basketball,LeBron 20,12.0,0.0,6970.47,0.0,0.0,,Online,Mumbai,262.79,False,True,True,0.0
2080,Men,Lifestyle,Blazer Mid,10.0,0.0,4398.68,0.0,0.0,2025-03-31,Online,Bangalore,-1005.89,False,True,False,0.0
2081,Men,Training,ZoomX Invincible,10.0,0.0,5622.32,0.0,0.0,,Online,Mumbai,2810.49,False,True,True,0.0
2083,Men,Running,Free RN,10.0,0.0,9291.74,0.0,0.0,2024-10-14,Retail,Delhi,-981.21,False,True,False,0.0
2084,Men,Training,Metcon 7,8.0,2.0,0.0,0.0,0.0,2023-12-24,Online,Mumbai,408.39,False,False,False,0.0
2085,Men,Basketball,Kyrie Flytrap,10.0,0.0,7561.85,0.0,0.0,2024-12-17,Retail,Kolkata,98.72,False,True,False,0.0
2086,Men,Soccer,Mercurial Superfly,10.0,0.0,4664.465,0.45,0.0,2024-10-11,Online,Kolkata,1742.66,False,True,False,0.0
2087,Kids,Basketball,Zoom Freak,8.0,0.0,4656.28,0.0,0.0,2024-11-01,Online,Kolkata,3777.5,False,True,False,0.0
2088,Women,Running,Free RN,12.0,4.0,0.0,0.0,0.0,2025-04-26,Online,Bangalore,2702.93,False,False,False,0.0
2089,Women,Training,Flex Trainer,10.0,2.0,6874.77,0.6,5499.816000000001,2024-02-12,Online,Mumbai,-1076.66,False,False,False,5499.816000000001
2090,Kids,Lifestyle,Dunk Low,8.0,0.0,3718.82,0.0,0.0,,Retail,Bangalore,163.15,False,True,True,0.0
2091,Kids,Running,Air Zoom,11.0,0.0,9246.88,0.0,0.0,,Retail,Mumbai,1917.55,False,True,True,0.0
2092,Kids,Basketball,Zoom Freak,12.0,2.0,0.0,0.1299999999999999,0.0,,Online,Delhi,207.2,False,False,True,0.0
2093,Men,Running,Free RN,12.0,0.0,4252.205,0.29,0.0,,Online,Kolkata,-146.73,False,True,True,0.0
2094,Kids,Training,Flex Trainer,10.0,1.0,4276.36,0.0,4276.36,2024-10-11,Retail,Delhi,2974.58,False,False,False,4276.36
2095,Men,Lifestyle,Waffle One,8.0,0.0,4493.965,0.0,0.0,2024-10-16,Online,Delhi,880.57,False,True,False,0.0
2096,Men,Running,Pegasus Turbo,12.0,2.0,0.0,0.0,0.0,2024-12-24,Online,Kolkata,288.66,False,False,False,0.0
2097,Women,Training,ZoomX Invincible,12.0,0.0,7978.89,0.0,0.0,,Online,Bangalore,769.05,False,True,True,0.0
2098,Men,Training,ZoomX Invincible,10.0,0.0,5690.69,0.69,0.0,2024-01-24,Online,Hyderabad,98.3,False,True,False,0.0
2099,Kids,Soccer,Mercurial Superfly,8.0,2.0,0.0,0.32,0.0,2025-01-02,Retail,Mumbai,360.97,False,False,False,0.0
2100,Kids,Soccer,Phantom GT,8.0,1.0,5937.52,0.0,5937.52,2025-07-11,Retail,Mumbai,2287.57,False,False,False,5937.52
2101,Kids,Running,Free RN,12.0,0.0,2010.07,0.0,0.0,2025-07-03,Online,Hyderabad,3398.01,False,True,False,0.0
2104,Men,Basketball,Kyrie Flytrap,10.0,0.0,4466.78,0.0,0.0,,Retail,Delhi,2905.91,False,True,True,0.0
2105,Kids,Training,Metcon 7,8.0,2.0,5744.7,0.0,11489.4,2024-11-17,Retail,Mumbai,1716.04,False,False,False,11489.4
2106,Women,Running,Free RN,10.0,0.0,4252.205,0.0,0.0,,Retail,Bangalore,76.95,False,True,True,0.0
2107,Women,Running,React Infinity,8.0,4.0,0.0,0.0,0.0,2024-08-30,Online,Hyderabad,-184.69,False,False,False,0.0
2108,Kids,Lifestyle,Air Force 1,12.0,0.0,5661.505,0.27,0.0,2024-11-15,Retail,Mumbai,-338.77,False,True,False,0.0
2109,Kids,Basketball,Zoom Freak,8.0,0.0,3894.2650000000003,0.0,0.0,2025-01-29,Retail,Kolkata,3791.88,False,True,False,0.0
2110,Kids,Running,Air Zoom,12.0,1.0,0.0,0.42,0.0,2024-12-25,Retail,Pune,-259.29,False,False,False,0.0
2111,Men,Lifestyle,Waffle One,10.0,0.0,4493.965,0.1399999999999999,0.0,2024-11-21,Retail,Bangalore,1326.67,False,True,False,0.0
2112,Women,Training,Metcon 7,8.0,0.0,2201.54,0.0,0.0,,Retail,Bangalore,697.42,False,True,True,0.0
2113,Women,Basketball,Air Jordan,12.0,0.0,3939.34,0.0,0.0,2023-12-19,Retail,Pune,2918.93,False,True,False,0.0
2114,Women,Training,Flex Trainer,12.0,1.0,3167.33,0.53,1488.6451,,Retail,Pune,1567.37,False,False,True,1488.6451
2115,Kids,Soccer,Phantom GT,6.0,2.0,7607.45,0.0,15214.9,,Online,Kolkata,1969.03,False,False,True,15214.9
2116,Women,Basketball,LeBron 20,12.0,0.0,4038.32,0.1299999999999999,0.0,2024-08-27,Online,Hyderabad,2088.55,False,True,False,0.0
2117,Women,Training,SuperRep Go,10.0,0.0,7645.96,0.0,0.0,2024-10-30,Online,Pune,2037.43,False,True,False,0.0
2118,Kids,Basketball,Zoom Freak,12.0,2.0,8426.54,0.0,16853.08,2023-09-21,Online,Hyderabad,2696.85,False,False,False,16853.08
2120,Men,Soccer,Phantom GT,12.0,0.0,4181.97,0.0,0.0,2024-12-14,Retail,Pune,-328.0,False,True,False,0.0
2122,Kids,Soccer,Mercurial Superfly,8.0,0.0,4664.465,0.0,0.0,,Retail,Bangalore,1078.48,False,True,True,0.0
2123,Men,Running,Air Zoom,10.0,0.0,5225.745000000001,0.0,0.0,2024-09-15,Retail,Hyderabad,2195.52,False,True,False,0.0
2124,Kids,Basketball,Kyrie Flytrap,10.0,0.0,6436.11,0.24,0.0,2025-04-07,Online,Kolkata,432.04,False,True,False,0.0
2125,Women,Soccer,Tiempo Legend,8.0,0.0,4457.27,0.0,0.0,2024-10-12,Retail,Hyderabad,1051.22,False,True,False,0.0
2128,Women,Basketball,LeBron 20,10.0,0.0,8750.71,0.0,0.0,,Retail,Bangalore,1411.29,False,True,True,0.0
2129,Men,Basketball,Zoom Freak,9.0,0.0,3894.2650000000003,0.0,0.0,,Retail,Delhi,841.4,False,True,True,0.0
2130,Men,Soccer,Premier III,10.0,3.0,0.0,0.24,0.0,2024-09-14,Online,Bangalore,2962.75,False,False,False,0.0
2131,Kids,Running,Free RN,12.0,0.0,5561.82,0.0,0.0,,Retail,Mumbai,2227.48,False,True,True,0.0
2132,Men,Running,Free RN,10.0,2.0,0.0,0.0,0.0,,Online,Delhi,3882.22,False,False,True,0.0
2133,Men,Training,Metcon 7,12.0,0.0,6789.53,0.0,0.0,2024-10-10,Retail,Pune,-166.81,False,True,False,0.0
2134,Men,Training,ZoomX Invincible,8.0,0.0,4738.62,0.0,0.0,2024-06-08,Online,Hyderabad,1009.28,False,True,False,0.0
2135,Men,Basketball,Zoom Freak,10.0,2.0,9106.61,0.74,4735.4372,2024-11-03,Retail,Hyderabad,2422.38,False,False,False,4735.4372
2136,Kids,Training,ZoomX Invincible,10.0,1.0,0.0,0.0,0.0,2024-09-15,Online,Pune,3672.24,False,False,False,0.0
2137,Men,Soccer,Phantom GT,12.0,0.0,5222.02,0.95,0.0,2025-01-12,Online,Delhi,1796.76,False,True,False,0.0
2138,Men,Running,Pegasus Turbo,11.0,2.0,8055.2,0.0,16110.4,2025-06-14,Online,Mumbai,1840.09,False,False,False,16110.4
2139,Women,Basketball,Air Jordan,8.0,0.0,4597.23,0.0,0.0,2025-06-19,Retail,Mumbai,-334.52,False,True,False,0.0
2140,Men,Basketball,Zoom Freak,8.0,0.0,6765.74,0.0,0.0,2025-04-28,Online,Bangalore,-875.45,False,True,False,0.0
2141,Kids,Soccer,Tiempo Legend,8.0,0.0,4457.27,0.10000000000000009,0.0,2023-11-22,Retail,Kolkata,-1032.47,False,True,False,0.0
2142,Kids,Soccer,Mercurial Superfly,8.0,0.0,4664.465,0.0,0.0,2024-10-03,Retail,Kolkata,-995.59,False,True,False,0.0
2144,Women,Lifestyle,Waffle One,10.0,4.0,0.0,0.0,0.0,2025-03-30,Online,Kolkata,2385.1,False,False,False,0.0
2145,Men,Lifestyle,Blazer Mid,6.0,0.0,4398.68,0.67,0.0,2024-07-30,Online,Bangalore,1335.45,False,True,False,0.0
2146,Kids,Basketball,Air Jordan,12.0,0.0,4597.23,0.1200000000000001,0.0,2025-02-15,Retail,Mumbai,-908.85,False,True,False,0.0
2148,Men,Basketball,Kyrie Flytrap,10.0,0.0,4466.78,0.0,0.0,2025-06-19,Online,Hyderabad,520.55,False,True,False,0.0
2149,Women,Running,Pegasus Turbo,10.0,0.0,4809.5,0.0,0.0,2025-05-20,Online,Kolkata,-595.69,False,True,False,0.0
2150,Women,Basketball,LeBron 20,8.0,2.0,3313.21,0.48,3445.7384,2025-06-07,Online,Bangalore,3221.62,False,False,False,3445.7384
2151,Kids,Soccer,Tiempo Legend,10.0,4.0,5619.75,0.0,22479.0,2025-05-27,Online,Bangalore,2000.85,False,False,False,22479.0
2152,Women,Running,Free RN,8.0,0.0,4252.205,0.0,0.0,,Online,Bangalore,3819.41,False,True,True,0.0
2153,Men,Running,React Infinity,10.0,0.0,4488.055,0.09,0.0,2024-08-18,Retail,Pune,1246.58,False,True,False,0.0
2154,Kids,Lifestyle,Blazer Mid,12.0,0.0,2963.16,0.0,0.0,2025-04-01,Online,Bangalore,2381.85,False,True,False,0.0
2155,Men,Soccer,Phantom GT,12.0,3.0,0.0,0.0,0.0,,Online,Hyderabad,1475.15,False,False,True,0.0
2156,Men,Soccer,Tiempo Legend,8.0,0.0,4457.27,0.0,0.0,2024-08-31,Online,Pune,-286.07,False,True,False,0.0
2157,Kids,Soccer,Premier III,8.0,1.0,0.0,0.0,0.0,2025-04-29,Online,Delhi,-701.01,False,False,False,0.0
2159,Women,Training,ZoomX Invincible,12.0,2.0,3987.65,0.0,7975.3,,Retail,Delhi,2781.72,False,False,True,7975.3
2160,Kids,Running,Air Zoom,12.0,0.0,5225.745000000001,0.0,0.0,2025-03-01,Retail,Mumbai,3744.91,False,True,False,0.0
2161,Kids,Lifestyle,Waffle One,8.0,0.0,5119.41,0.8,0.0,,Online,Pune,1956.8,False,True,True,0.0
2162,Men,Lifestyle,Blazer Mid,8.0,0.0,7662.11,0.0,0.0,,Online,Mumbai,2398.55,False,True,True,0.0
2163,Men,Lifestyle,Dunk Low,7.0,0.0,3718.82,0.24,0.0,2025-03-06,Retail,Hyderabad,3344.98,False,True,False,0.0
2164,Women,Soccer,Mercurial Superfly,8.0,0.0,4664.465,0.95,0.0,2024-10-23,Online,Pune,-872.9,False,True,False,0.0
2165,Kids,Training,SuperRep Go,10.0,4.0,4577.65,0.0,18310.6,2024-11-11,Retail,Kolkata,2460.19,False,False,False,18310.6
2166,Women,Lifestyle,Air Force 1,8.0,0.0,7312.38,0.0,0.0,2025-01-02,Online,Mumbai,3364.05,False,True,False,0.0
2167,Men,Running,React Infinity,12.0,3.0,3055.79,0.0,9167.369999999999,,Retail,Mumbai,1259.58,False,False,True,9167.369999999999
2168,Women,Running,Pegasus Turbo,10.0,0.0,4809.5,0.85,0.0,2024-08-01,Retail,Kolkata,3011.49,False,True,False,0.0
2169,Kids,Training,Flex Trainer,12.0,4.0,4046.05,0.01,16022.358,2024-12-14,Retail,Delhi,1057.58,False,False,False,16022.358
2170,Kids,Lifestyle,Air Force 1,8.0,0.0,5661.505,0.0,0.0,2025-06-28,Online,Kolkata,3218.82,False,True,False,0.0
2022,Women,Lifestyle,Air Force 1,10.0,0.0,9378.52,0.06000000000000005,0.0,2023-10-29,Retail,Mumbai,128.92,False,True,False,0.0
2172,Women,Training,ZoomX Invincible,8.0,0.0,7988.99,0.19999999999999996,0.0,2024-12-17,Online,Bangalore,-909.86,False,True,False,0.0
2174,Women,Soccer,Phantom GT,10.0,0.0,3883.92,0.0,0.0,,Retail,Pune,428.5,False,True,True,0.0
2175,Women,Lifestyle,Blazer Mid,12.0,0.0,4398.68,0.15999999999999992,0.0,,Online,Pune,2457.78,False,True,True,0.0
2176,Men,Soccer,Mercurial Superfly,8.0,4.0,0.0,0.0,0.0,2025-04-01,Online,Bangalore,3908.28,False,False,False,0.0
2177,Women,Lifestyle,Waffle One,12.0,0.0,4493.965,0.0,0.0,2025-06-27,Retail,Mumbai,885.37,False,True,False,0.0
2178,Men,Running,Free RN,10.0,1.0,0.0,0.0,0.0,2024-10-28,Retail,Bangalore,-983.37,False,False,False,0.0
2179,Women,Training,ZoomX Invincible,8.0,3.0,0.0,0.0,0.0,2024-01-26,Retail,Pune,3135.92,False,False,False,0.0
2180,Women,Basketball,LeBron 20,12.0,0.0,5216.395,0.0,0.0,2024-05-15,Online,Pune,2189.84,False,True,False,0.0
2181,Women,Lifestyle,Air Force 1,12.0,2.0,0.0,0.0,0.0,2025-01-06,Retail,Delhi,419.58,False,False,False,0.0
2182,Kids,Basketball,Zoom Freak,11.0,0.0,7214.55,0.0,0.0,,Online,Mumbai,-662.77,False,True,True,0.0
2183,Kids,Lifestyle,Waffle One,8.0,0.0,5389.56,0.0,0.0,,Online,Pune,2927.93,False,True,True,0.0
2184,Men,Soccer,Mercurial Superfly,12.0,4.0,0.0,0.0,0.0,,Retail,Hyderabad,1980.73,False,False,True,0.0
2185,Women,Training,ZoomX Invincible,12.0,4.0,4207.44,0.59,6900.201599999999,2025-06-08,Online,Kolkata,-615.48,False,False,False,6900.201599999999
2186,Men,Running,React Infinity,10.0,0.0,4488.055,0.0,0.0,,Retail,Bangalore,540.83,False,True,True,0.0
2187,Men,Running,React Infinity,10.0,0.0,7795.32,0.0,0.0,2024-09-11,Online,Mumbai,2402.99,False,True,False,0.0
2189,Men,Training,SuperRep Go,10.0,3.0,0.0,0.9,0.0,2024-10-02,Online,Hyderabad,3628.46,False,False,False,0.0
2190,Kids,Basketball,Kyrie Flytrap,10.0,0.0,4280.01,0.66,0.0,,Online,Delhi,1949.77,False,True,True,0.0
2191,Men,Lifestyle,Air Force 1,8.0,3.0,0.0,0.0,0.0,2024-09-28,Retail,Pune,-1032.88,False,False,False,0.0
2194,Men,Soccer,Mercurial Superfly,8.0,0.0,6196.01,0.0,0.0,2024-10-27,Online,Hyderabad,926.03,False,True,False,0.0
2195,Women,Training,SuperRep Go,10.0,0.0,4176.63,0.51,0.0,,Online,Delhi,1041.81,False,True,True,0.0
2196,Kids,Soccer,Premier III,10.0,2.0,2708.73,0.0,5417.46,2025-06-30,Online,Delhi,925.63,False,False,False,5417.46
2197,Kids,Training,ZoomX Invincible,10.0,3.0,0.0,0.0,0.0,2024-10-06,Online,Bangalore,-418.5,False,False,False,0.0
2198,Men,Training,SuperRep Go,7.0,4.0,0.0,0.65,0.0,2025-01-05,Online,Pune,-169.33,False,False,False,0.0
2199,Men,Soccer,Premier III,8.0,1.0,0.0,0.0,0.0,,Retail,Kolkata,389.94,False,False,True,0.0
2200,Men,Basketball,Air Jordan,9.0,3.0,5570.72,0.0,16712.16,,Online,Delhi,1513.76,False,False,True,16712.16
2201,Women,Training,SuperRep Go,11.0,0.0,4176.63,0.0,0.0,2024-05-10,Online,Mumbai,1403.56,False,True,False,0.0
2203,Men,Lifestyle,Air Force 1,8.0,0.0,6903.22,0.0,0.0,,Online,Pune,1556.95,False,True,True,0.0
2204,Men,Basketball,LeBron 20,7.0,0.0,7660.41,0.0,0.0,2025-05-17,Online,Delhi,2076.75,False,True,False,0.0
2205,Women,Running,React Infinity,12.0,0.0,4488.055,0.0,0.0,2025-04-24,Retail,Pune,-467.52,False,True,False,0.0
2206,Men,Training,Flex Trainer,8.0,2.0,0.0,0.0,0.0,,Online,Delhi,-524.85,False,False,True,0.0
2207,Women,Running,Pegasus Turbo,12.0,0.0,4809.5,0.0,0.0,,Online,Hyderabad,2101.41,False,True,True,0.0
2208,Women,Basketball,LeBron 20,8.0,0.0,5172.62,0.97,0.0,,Retail,Hyderabad,-1074.04,False,True,True,0.0
2209,Kids,Training,SuperRep Go,10.0,0.0,4176.63,0.0,0.0,2024-09-01,Retail,Hyderabad,1956.7,False,True,False,0.0
2210,Men,Lifestyle,Blazer Mid,12.0,0.0,4398.68,0.0,0.0,2024-09-08,Retail,Kolkata,701.02,False,True,False,0.0
2000,Kids,Training,Metcon 7,8.0,4.0,0.0,0.94,0.0,2024-02-27,Retail,Bangalore,2372.82,False,False,False,0.0
2212,Women,Lifestyle,Blazer Mid,10.0,0.0,7670.82,0.0,0.0,2024-09-23,Online,Kolkata,-87.95,False,True,False,0.0
2213,Women,Running,Air Zoom,9.0,0.0,5714.92,0.0,0.0,,Online,Delhi,3741.14,False,True,True,0.0
2214,Men,Basketball,LeBron 20,12.0,2.0,5016.03,0.0,10032.06,,Retail,Mumbai,1446.0,False,False,True,10032.06
2215,Men,Basketball,Zoom Freak,12.0,3.0,0.0,0.36,0.0,2024-12-16,Online,Kolkata,3254.06,False,False,False,0.0
2216,Women,Lifestyle,Air Force 1,8.0,1.0,3111.62,0.0,3111.62,,Online,Hyderabad,2617.56,False,False,True,3111.62
2217,Women,Lifestyle,Waffle One,10.0,0.0,4493.965,0.0,0.0,2025-04-15,Retail,Delhi,2190.84,False,True,False,0.0
2218,Kids,Soccer,Premier III,6.0,2.0,0.0,0.0,0.0,,Online,Bangalore,1440.02,False,False,True,0.0
2220,Kids,Training,SuperRep Go,8.0,0.0,4176.63,0.0,0.0,2024-09-09,Online,Kolkata,890.14,False,True,False,0.0
2221,Kids,Lifestyle,Waffle One,10.0,2.0,3375.97,0.0,6751.94,2024-01-06,Retail,Mumbai,-297.05,False,False,False,6751.94
2222,Men,Training,ZoomX Invincible,12.0,2.0,8897.19,0.11,15836.998200000002,2024-12-21,Retail,Mumbai,2821.69,False,False,False,15836.998200000002
2225,Kids,Basketball,Kyrie Flytrap,11.0,0.0,4466.78,0.0,0.0,,Retail,Hyderabad,1136.63,False,True,True,0.0
